queue_id,service_id,called,letter,position,created_date,created_time,updated_date,updated_time
45,1,1,W,0,2024-01-25,18:19:28,2024-01-25,18:26:13
46,1,1,W,0,2024-01-25,18:20:37,2024-01-25,18:34:16
47,1,1,W,0,2024-01-25,18:24:57,2024-01-25,18:35:14
48,2,1,NR,0,2024-01-25,18:34:40,2024-01-25,18:34:53
49,2,1,NR,0,2024-01-25,18:34:45,2024-01-25,18:36:48
50,3,1,T,0,2024-01-25,18:35:29,2024-01-25,18:35:58
51,3,1,T,0,2024-01-25,18:35:32,2024-01-25,19:08:49
52,3,1,T,0,2024-01-25,18:35:36,2024-01-25,19:08:59
53,2,1,NR,0,2024-01-26,09:14:41,2024-01-26,10:06:54
54,2,1,NR,0,2024-01-26,09:39:43,2024-01-26,10:14:05
55,2,1,NR,0,2024-01-26,09:40:15,2024-01-26,10:21:49
56,1,1,W,0,2024-01-26,09:46:04,2024-01-26,10:21:23
57,2,1,NR,0,2024-01-26,09:46:27,2024-01-26,10:37:28
58,1,1,W,0,2024-01-26,09:46:42,2024-01-26,10:21:28
59,2,1,NR,0,2024-01-26,09:47:18,2024-01-26,10:52:14
60,1,1,W,0,2024-01-26,09:49:07,2024-01-26,10:21:32
61,2,1,NR,0,2024-01-26,09:59:29,2024-01-26,10:53:05
62,2,1,NR,0,2024-01-26,09:59:46,2024-01-26,10:55:58
63,1,1,W,0,2024-01-26,10:00:09,2024-01-26,10:21:37
64,1,1,W,0,2024-01-26,10:00:17,2024-01-26,10:21:40
65,2,1,NR,0,2024-01-26,10:01:48,2024-01-26,11:10:27
66,2,1,NR,0,2024-01-26,10:04:03,2024-01-26,11:16:18
67,3,1,T,0,2024-01-26,10:05:38,2024-01-26,10:41:38
68,1,1,W,0,2024-01-26,10:12:01,2024-01-26,10:21:43
69,2,1,NR,0,2024-01-26,10:12:24,2024-01-26,11:19:00
70,2,1,NR,0,2024-01-26,10:12:37,2024-01-26,11:20:34
71,1,1,W,0,2024-01-26,10:13:26,2024-01-26,10:21:47
72,1,1,W,0,2024-01-26,10:18:03,2024-01-26,10:28:05
73,2,1,NR,0,2024-01-26,10:18:30,2024-01-26,11:26:27
74,2,1,NR,0,2024-01-26,10:21:45,2024-01-26,11:37:16
75,2,1,NR,0,2024-01-26,10:22:07,2024-01-26,11:48:27
76,2,1,NR,0,2024-01-26,10:22:46,2024-01-26,11:59:18
77,1,1,W,0,2024-01-26,10:23:24,2024-01-26,10:29:31
78,1,1,W,0,2024-01-26,10:23:36,2024-01-26,10:29:48
79,1,1,W,0,2024-01-26,10:23:55,2024-01-26,10:56:28
80,2,1,NR,0,2024-01-26,10:24:14,2024-01-26,12:17:03
81,1,1,W,0,2024-01-26,10:26:25,2024-01-26,11:05:09
82,2,1,NR,0,2024-01-26,10:27:09,2024-01-26,12:18:49
83,2,1,NR,0,2024-01-26,10:28:26,2024-01-26,12:27:19
84,1,1,W,0,2024-01-26,11:04:01,2024-01-26,11:05:54
85,1,1,W,0,2024-01-26,11:04:54,2024-01-26,11:06:56
86,1,1,W,0,2024-01-26,11:05:25,2024-01-26,11:16:49
87,1,1,W,0,2024-01-26,11:05:43,2024-01-26,11:19:20
88,1,1,W,0,2024-01-26,11:05:59,2024-01-26,11:42:05
89,1,1,W,0,2024-01-26,11:06:39,2024-01-26,11:45:24
90,2,1,NR,0,2024-01-26,11:06:50,2024-01-26,12:32:48
91,2,1,NR,0,2024-01-26,11:07:05,2024-01-26,12:37:35
92,2,1,NR,0,2024-01-26,11:07:17,2024-01-26,12:38:21
93,2,1,NR,0,2024-01-26,11:07:29,2024-01-26,13:02:04
94,2,1,NR,0,2024-01-26,11:07:43,2024-01-26,13:02:16
95,2,1,NR,0,2024-01-26,11:08:03,2024-01-26,13:02:44
96,2,1,NR,0,2024-01-26,11:08:26,2024-01-26,13:05:33
97,2,1,NR,0,2024-01-26,11:08:37,2024-01-26,13:11:15
98,1,1,W,0,2024-01-26,11:13:21,2024-01-26,12:52:15
99,2,1,NR,0,2024-01-26,11:14:46,2024-01-26,13:12:13
100,2,1,NR,0,2024-01-26,11:15:54,2024-01-26,13:14:35
101,2,1,NR,0,2024-01-26,11:17:11,2024-01-26,13:23:17
